Timestamp (ns),0x6a25 Range to 0x6f58 (mm),0x6a25 RSS to 0x6f58 (dB),0x6a25 Range to 0x6a5d (mm),0x6a25 RSS to 0x6a5d (dB),0x6a25 Range to 0x6a26 (mm),0x6a25 RSS to 0x6a26 (dB),0x6a25 Range to 0x6f61 (mm),0x6a25 RSS to 0x6f61 (dB),Timestamp (ns),0x6f58 Range to 0x6a5d (mm),0x6f58 RSS to 0x6a5d (dB),0x6f58 Range to 0x6a25 (mm),0x6f58 RSS to 0x6a25 (dB),0x6f58 Range to 0x6a26 (mm),0x6f58 RSS to 0x6a26 (dB),0x6f58 Range to 0x6f61 (mm),0x6f58 RSS to 0x6f61 (dB)
1595476447758381582, , , , ,1264,-81, , ,1595476447764923601, , , , ,1250,-82, , ,,
1595476447781067934, , , , , , ,884,-81,1595476447787330971, , , , , , ,721,-86,,
1595476447787439860, , , , , , , , ,1595476447793364860,648,-80, , , , , , ,,
1595476447799703101, , ,945,-80, , , , ,1595476447799732082, , , , , , , , ,,
1595476447805796823, , , , ,1231,-81, , ,1595476447812261915, , , , ,1217,-83, , ,,
1595476447818642582, , , , , , ,903,-82,1595476447824996138, , , , , , ,712,-90,,
1595476447825103471, , , , , , , , ,1595476447831483063,662,-80, , , , , , ,,
1595476447837858341, , ,898,-80, , , , ,1595476447837883545, , , , , , , , ,,
1595476447844173915, , , , ,1259,-81, , ,1595476447850263730, , , , ,1217,-84, , ,,
1595476447856389934, , , , , , ,886,-81,1595476447862445212, , , , , , ,721,-86,,
1595476447862528675, , , , , , , , ,1595476447868369434,597,-80, , , , , , ,,
1595476447874524878, , ,917,-80, , , , ,1595476447874551341, , , , , , , , ,,
1595476447880742026, , , , ,1254,-81, , ,1595476447886895545, , , , ,1221,-82, , ,,
1595476447893437193, , , , , , ,908,-82,1595476447899630878, , , , , , ,754,-86,,
1595476447899716693, , , , , , , , ,1595476447906023415,646,-80, , , , , , ,,
1595476447912130563, , ,898,-80, , , , ,1595476447912156138, , , , , , , , ,,
1595476447918276045, , , , ,1273,-81, , ,1595476447924372156, , , , ,1268,-82, , ,,
1595476447930574563, , , , , , ,881,-81,1595476447936611545, , , , , , ,764,-86,,
1595476447936694063, , , , , , , , ,1595476447943338860,646,-80, , , , , , ,,
1595476447949584378, , ,941,-80, , , , ,1595476447949612212, , , , , , , , ,,
1595476447956077489, , , , ,1287,-81, , ,1595476447962478637, , , , ,1193,-82, , ,,
1595476447969063878, , , , , , ,853,-81,1595476447975318989, , , , , , ,740,-87,,
1595476447975425026, , , , , , , , ,1595476447981944119,634,-81, , , , , , ,,
1595476447988407915, , ,917,-80, , , , ,1595476447988435137, , , , , , , , ,,
1595476447995011249, , , , ,1268,-81, , ,1595476448001376397, , , , ,1245,-82, , ,,
1595476448007738786, , , , , , ,889,-81,1595476448014379471, , , , , , ,726,-86,,
1595476448014488008, , , , , , , , ,1595476448021330156,667,-80, , , , , , ,,
