,0x6a5d,0x6a5d,0x6a5d,0x6a5d,0x6a5d,0x6a5d,0x6a26,0x6a26,0x6a26,0x6a26,0x6a26,0x6a26,
Timestamp (ns),Range to 0x6a26 (mm),RSS to 0x6a26 (dB),Range to 0x6a7b (mm),RSS to 0x6a7b (dB),Range to 0x6a25 (mm),RSS to 0x6a25 (dB),Range to 0x6a7b (mm),RSS to 0x6a7b (dB),Range to 0x6a5d (mm),RSS to 0x6a5d (dB),Range to 0x6a25 (mm),RSS to 0x6a25 (dB),
1594783372022582475,,,,,,, , , , ,1114,-85,
1594783372028686975, , ,983,-82, , ,
1594783372035553772, , , , ,1044,-87,
1594783372042136716,,,,,,,1231,-82, , , , ,
1594783372048638587,,,,,,, , , , ,1114,-85,
1594783372054524272, , ,974,-83, , ,
1594783372061119550, , , , ,1006,-87,
1594783372067030531,,,,,,,857,-82, , , , ,
1594783372073119124,,,,,,, , , , ,1110,-85,
1594783372080044161, , ,1006,-83, , ,
1594783372086421957, , , , ,1063,-87,
1594783372092940661,,,,,,,870,-82, , , , ,
1594783372099593642,,,,,,, , , , ,1128,-86,
1594783372105481401, , ,1025,-83, , ,
1594783372112040457, , , , ,1053,-87,
1594783372118443401,,,,,,,825,-82, , , , ,
1594783372124952587,,,,,,, , , , ,1132,-86,
1594783372130833105, , ,978,-82, , ,
1594783372137195790, , , , ,1034,-88,
1594783372143051864,,,,,,,820,-82, , , , ,
1594783372149104772,,,,,,, , , , ,1128,-86,
1594783372156055216, , ,1020,-83, , ,
1594783372162658420, , , , ,1039,-87,
1594783372168578994,,,,,,,853,-82, , , , ,
1594783372175882179,,,,,,, , , , ,1114,-86,
1594783372181722735, , ,969,-84, , ,
1594783372188139475, , , , ,1053,-87,
1594783372193951679,,,,,,,889,-83, , , , ,
1594783372200165475,,,,,,, , , , ,1118,-85,
1594783372207065475, , ,1006,-82, , ,
1594783372213521901, , , , ,1011,-87,
1594783372219950327,,,,,,,834,-82, , , , ,
1594783372226679957,,,,,,, , , , ,1128,-85,
1594783372233361142, , ,1006,-83, , ,
1594783372240065661, , , , ,1049,-90,
1594783372246485772,,,,,,,853,-83, , , , ,
1594783372252775123,,,,,,, , , , ,1119,-86,
1594783372259118475, , ,992,-82, , ,
1594783372266053179, , , , ,1011,-91,
1594783372272688216,,,,,,,898,-83, , , , ,
1594783372279180475,,,,,,, , , , ,1132,-86,
1594783372285976549, , ,983,-81, , ,
1594783372291753531, , , , ,1020,-88,
1594783372299268179,,,,,,,903,-84, , , , ,
1594783372305525123,,,,,,, , , , ,1128,-85,
1594783372311961901, , ,945,-83, , ,
1594783372317919160, , , , ,1030,-88,
1594783372324867790,,,,,,,870,-83, , , , ,
1594783372331214235,,,,,,, , , , ,1128,-85,
1594783372338256290, , ,969,-83, , ,
1594783372345069549, , , , ,1044,-87,
1594783372350969623,,,,,,,931,-84, , , , ,
1594783372357544883,,,,,,, , , , ,1175,-86,
1594783372364186994, , ,988,-82, , ,
1594783372371096827, , , , ,1025,-85,
1594783372378128809,,,,,,,1011,-83, , , , ,
1594783372384984068,,,,,,, , , , ,1179,-87,
1594783372391610568, , ,1011,-81, , ,
1594783372397409938, , , , ,1039,-86,
1594783372403845586,,,,,,,1437,-83, , , , ,
