,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,
Timestamp (ns),Accel_x (mg), Accel_y (mg), Accel_z (mg),Gyro_x (deg/s), Gyro_y (deg/s), Gyro_z (deg/s),Mag_x (uT), Mag_y (uT), Mag_z (uT),Quat_w, Quat_x, Quat_y, Quat_z,Pressure (Pa),Range to 0x6a25 (mm),RSS to 0x6a25 (dB),
1594840091105647928,23.0,-63.0,964.0,0.1875,-0.0625,0.0,25.375,10.875,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840091138873549,22.0,-63.0,959.0,-0.0625,0.0625,0.0,24.75,11.25,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840091172690973,24.0,-63.0,959.0,-0.125,0.0,0.0,24.75,10.875,-72.6875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840091206091504,22.0,-63.0,960.0,0.1875,0.125,-0.0625,24.75,10.875,-72.6875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840091238677675,24.0,-62.0,958.0,-0.0625,-0.0625,0.0,24.75,10.5625,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840091268604523,23.0,-62.0,961.0,0.0625,0.0625,0.0,24.375,10.875,-71.5,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840091304066758,24.0,-62.0,961.0,-0.125,0.25,-0.0625,24.375,10.875,-71.5,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840091335779033,22.0,-63.0,962.0,-0.1875,-0.0625,0.0,24.75,11.6875,-71.5,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101668.5,131072,0,
1594840091368936737,24.0,-60.0,961.0,-0.25,0.0625,-0.0625,24.75,10.875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101668.5,131072,0,
1594840091402692024,23.0,-62.0,960.0,0.0625,-0.125,-0.125,24.75,10.875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101668.5,131072,0,
1594840091434079262,23.0,-61.0,962.0,-0.25,0.0625,0.0,25.0625,10.875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101668.5,131072,0,
1594840091465834843,22.0,-64.0,961.0,0.0,0.1875,-0.0625,24.75,11.25,-71.5,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101668.5,131072,0,
1594840091502126124,24.0,-62.0,958.0,0.0,0.0625,0.0625,24.75,11.25,-71.5,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101668.5, , ,
1594840091536156232,23.0,-65.0,959.0,-0.25,0.125,0.0,25.375,10.5625,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101668.5,131072,0,
1594840091570200138,24.0,-61.0,961.0,-0.125,-0.1875,0.0,25.375,10.5625,-72.5625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101668.5,131072,0,
1594840091604162331,22.0,-63.0,957.0,-0.125,-0.1875,-0.0625,25.375,10.5625,-72.5625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101668.5,131072,0,
1594840091638043817,22.0,-61.0,960.0,-0.0625,0.125,-0.0625,25.375,11.25,-72.5625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101668.5,131072,0,
